Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 134

N 	Smpl.	Trig

0	134	0
1	144	0
2	154	0
3	161	0
4	164	0
5	164	0
6	160	0
7	155	0
8	148	0
9	140	0
10	132	0
11	126	0
12	119	0
13	117	0
14	114	0
15	115	0
16	117	0
17	122	0
18	127	0
19	133	0
20	139	0
21	145	0
22	149	0
23	153	0
24	154	0
25	154	0
26	152	0
27	147	0
28	141	0
29	134	0
30	126	0
31	119	0
32	113	0
33	110	0
34	108	0
35	109	0
36	113	0
37	120	0
38	130	0
39	140	0
40	150	0
41	160	0
42	169	0
43	173	0
44	174	0
45	169	0
46	162	0
47	150	0
48	137	0
49	121	0
50	107	0
51	94	0
52	86	0
53	83	0
54	85	0
55	93	0
56	105	0
57	121	0
58	140	0
59	158	0
60	174	0
61	187	0
62	195	0
63	195	0
64	190	0
65	178	0
66	161	0
67	142	0
68	121	0
69	102	0
70	86	0
71	75	0
72	70	0
73	73	0
74	82	0
75	97	0
76	114	0
77	137	0
78	155	0
79	173	0
80	185	0
81	193	0
82	192	0
83	188	0
84	176	0
85	161	0
86	145	0
87	128	0
88	111	0
89	98	0
90	90	0
91	87	0
92	89	0
93	96	0
94	106	0
95	118	0
96	133	0
97	145	0
98	156	0
99	163	0
100	168	0
101	168	0
102	166	0
103	160	0
104	151	0
105	142	0
106	133	0
107	125	0
108	118	0
109	113	0
110	112	0
111	112	0
112	115	0
113	120	0
114	126	0
115	133	0
116	138	0
117	144	0
118	149	0
119	153	0
120	154	0
121	153	0
122	150	0
123	147	0
124	141	0
125	134	0
126	129	0
127	122	0
128	117	0
129	113	0
130	112	0
131	112	0
132	116	0
133	121	0
134	129	0
135	138	0
136	147	0
137	156	0
138	163	0
139	167	0
140	168	0
141	166	0
142	160	0
143	150	0
144	137	0
145	125	0
146	112	0
147	101	0
148	92	0
149	86	0
150	89	0
151	94	0
152	106	0
153	120	0
154	137	0
155	154	0
156	170	0
157	182	0
158	191	0
159	194	0
160	189	0
161	179	0
162	164	0
163	144	0
164	125	0
165	105	0
166	88	0
167	76	0
168	71	0
169	73	0
170	79	0
171	94	0
172	112	0
173	133	0
174	152	0
175	171	0
176	186	0
177	194	0
178	197	0
179	192	0
180	182	0
181	166	0
182	149	0
183	130	0
184	111	0
185	97	0
186	87	0
187	82	0
188	83	0
189	90	0
190	101	0
191	115	0
192	130	0
193	144	0
194	157	0
195	166	0
196	173	0
197	174	0
198	171	0
199	165	0
200	156	0
201	145	0
202	134	0
203	125	0
204	116	0
205	110	0
206	108	0
207	109	0
208	111	0
209	117	0
210	123	0
211	131	0
212	137	0
213	145	0
214	150	0
215	153	0
216	155	0
217	154	0
218	152	0
219	147	0
220	142	0
221	137	0
222	130	0
223	124	0
224	118	0
225	116	0
226	115	0
227	115	0
228	118	0
229	122	0
230	129	0
231	137	0
232	144	0
233	151	0
234	158	0
235	162	0
236	164	0
237	162	0
238	158	0
239	150	0
240	139	0
241	128	0
242	117	0
243	106	0
244	98	0
245	93	0
246	93	0
247	97	0
248	106	0
249	118	0
250	134	0
251	150	0
252	165	0
253	177	0
254	186	0
255	190	0
256	187	0
257	178	0
258	164	0
259	147	0
260	128	0
261	109	0
262	93	0
263	79	0
264	73	0
265	73	0
266	80	0
267	91	0
268	109	0
269	129	0
270	149	0
271	168	0
272	184	0
273	195	0
274	198	0
275	195	0
276	184	0
277	171	0
278	152	0
279	133	0
280	113	0
281	97	0
282	85	0
283	78	0
284	78	0
285	85	0
286	95	0
287	110	0
288	126	0
289	143	0
290	158	0
291	169	0
292	176	0
293	179	0
294	176	0
295	170	0
296	161	0
297	148	0
298	137	0
299	125	0
300	115	0
301	108	0
302	104	0
303	104	0
304	107	0
305	113	0
306	121	0
307	128	0
308	137	0
309	145	0
310	150	0
311	155	0
312	157	0
313	156	0
314	153	0
315	149	0
316	144	0
317	137	0
318	130	0
319	125	0
320	120	0
321	117	0
322	115	0
323	117	0
324	118	0
325	122	0
326	129	0
327	135	0
328	142	0
329	149	0
330	154	0
331	158	0
332	160	0
333	158	0
334	155	0
335	149	0
336	140	0
337	131	0
338	121	0
339	112	0
340	104	0
341	99	0
342	99	0
343	102	0
344	109	0
345	119	0
346	132	0
347	146	0
348	160	0
349	172	0
350	181	0
351	185	0
352	182	0
